ลำดับ,เลขทะเบียนเดิม,FID,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงานรวม,แรงม้า
1319,3-105-87/64รย,1.02104E+13,บริษัท พิศพันธุ์ คอนสตรัคชั่น จำกัด,บริษัท พิศพันธุ์ คอนสตรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ โฉนดที่ดินเลขที่ 2378, 46210",2,,,มาบยางพร,ปลวกแดง,ระยอง,21140,,10800000,14,655
1320,3-105-89/48รย,1.021E+13,บริษัท เนินกระปรอกดีเวลลอปเมนท์ จำกัด,บริษัท เนินกระปรอกดีเวลลอปเมนท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) และยดย่อยเศษพลาสติก,เลขที่ 123/14,6, -, -,บ้านฉาง,บ้านฉาง,ระยอง,21130,,1550000,53,49
1321,3-105-90/59รย,1.021E+13,บริษัท เอส บี เอส แอนด์ รีไซเคิล จำกัด,บริษัท เอส บี เอส แอนด์ รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 13865 และ 18226,,,,บ้านฉาง,บ้านฉาง,ระยอง,21130,095-4162829,6000000,8,345
1322,3-105-92/63รย,1.02103E+13,บริษัท เมก้าพลัส รีไซเคิล จำกัด,บริษัท เมก้าพลัส รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 888/11,2,,,พนานิคม,นิคมพัฒนา,ระยอง,21180,971524939,26775000,30,828
1323,3-105-95/61รย,1.021E+13,บริษัท ปรานต์วิพัฒน์ สตีล จำกัด,บริษัท ปรานต์วิพัฒน์ สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 658,1,13,,พนานิคม,นิคมพัฒนา,ระยอง,21180,08 1827 4952,2700000,8,117
1324,3-105-96/48รย,1.021E+13,บริษัท สุธี แท็งเกอร์ แอนด์ สเปเชียลทรัค จำกัด,บริษัท สุธี แท็งเกอร์ แอนด์ สเปเชียลทรัค จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะ ภาคผนวก 1 ข้อ 1 ตามบัญชีท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1(พ.ศ.2541) บดย่อยพลาสติก และรีไซเคิลน้ำมันหล่อลื่นใช้แล้ว,เลขที่ ,,ราษฎร์บำรุง 1,ราษฎร์บำรุง,ห้วยโป่ง,เมืองระยอง,ระยอง,21000,,7250000,10,114
1325,3-105-98/64รย,1.02105E+13,บริษัท หวง ไท่ ไทร์ (ไทยแลนด์) จำกัด,บริษัท หวง ไท่ ไทร์ (ไทยแลนด์) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 495,1,,,ละหาร,ปลวกแดง,ระยอง,21140,,62000000,20,81.5
1326,3-106-1/46รย,1.02109E+13,บริษัท เวสท์ โอเว่น เซอร์วิส จำกัด,บริษัท เวสท์ โอเว่น เซอร์วิส จำกัด,นำกากตะกอนจากกระบวนการบำบัดน้ำเสียไปทำผลิตภัณฑ์ใหม่ ได้แก่ อิฐบล็อค สารปรับปรุงดิน เป็นต้น,เลขที่ 105,2,     -,     -,มาบข่า,นิคมพัฒนา,ระยอง,21180,     -,14000000,19,86
1327,3-106-1/64รย,1.021E+13,บริษัท เอ็น เอฟ เอ็ม อาร์ จำกัด,บริษัท เอ็น เอฟ เอ็ม อาร์ จำกัด,นำเศษผงโลหะจากระบบบำบัดอากาศในโรงงานผลิตโลหะ มาคืนสภาพเพื่อนำกลับมาใช้ประโยชน์ใหม่ในกระบวนการผลิตโลหะ,เลขที่ 11/9,,,ประชารัตน์,มาบตาพุด,เมืองระยอง,ระยอง,21150,,20000000,10,518.44
1328,3-106-10/54รย,1.021E+13,บริษัท ระยองมาบยางพรกรุ๊ป จำกัด,บริษัท ระยองมาบยางพรกรุ๊ป จำกัด,ทำเชื้อเพลิงทดแทน ทำเชื้อเพลิงผสม บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย ทำน้ำมันทาแบบ สีกันสนิม สกัดโลหะมีค่าจากน้ำยาล้างฟิล์มและน้ำยาชุบโลหะที่มีองค์ประกอบของโลหะมีค่า ทำอิฐบล็อก อิฐตัวหนอนจากสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 35,3,-,-,มาบยางพร,ปลวกแดง,ระยอง,21140,081 5903 448,2600000,26,280
1329,3-106-11/52รย,1.021E+13,บริษัท ฟาลังซ์ จำกัด,บริษัท ฟาลังซ์ จำกัด,นำเถ้าลอยจากการเผาไหม้ถ่านหินมาผลิตอิฐมวลเบา นำวัสดุที่ไม่ใช้แล้วจากการเผาไหม้ถ่านหินไปทำอิฐมวลเบา ผลิตภัณฑ์มวลผสม สารเพิ่มคุณสมบัติคอนกรีต (ปอซโซลาน),เลขที่ 22/1,-,-,-,ห้วยโป่ง,เมืองระยอง,ระยอง,21000,,4000000,9,286.5
1330,3-106-11/56รย,1.021E+13,บริษัท กรีนเวสท์โกลเวอร์ไลท์ แมนเนจเม้นท์ จำกัด,บริษัท กรีนเวสท์โกลเวอร์ไลท์ แมนเนจเม้นท์ จำกัด,ซ่อมและล้างถังบรรจุภัณฑ์ด้วยตัวทำละลาย นำสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วทั้งในสภาพของแข็งและของเหลวมาผลิตเชื้อเพลิงผสม (Blending) นำน้ำมันใช้แล้วและตัวทำละลายใช้แล้วมาผลิตเชื้อเพลิงทดแทน,เลขที่ 167,6,-,-,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180,,1800000,20,90
1331,3-106-12/59รย,1.02101E+13,บริษัท ซี เวสท์ โซลูชั่น จำกัด,บริษัท ซี เวสท์ โซลูชั่น จำกัด,นำกากตะกอนจากระบบบำบัดน้ำเสียที่มีองค์ประกอบของโลหะมีค่าจากอุตสาหกรรมชุบโลหะและอิเล็กทรอนิกส์มาผ่านกระบวนการรีไซเคิล (อบแห้ง) ,เลขที่ 89,5,,,มะขามคู่,นิคมพัฒนา,ระยอง,21000,,3000000,3,250
1332,3-106-12/61รย,1.02101E+13,บริษัท รุ่งเจริญ เอ็นไวรอนเมนทอล เซอร์วิส จำกัด,บริษัท รุ่งเจริญ เอ็นไวรอนเมนทอล เซอร์วิส จำกัด,"ผลิตเชื้อเพลิงแข็งจากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย (Solid Recovery Fuel, SRF)",เลขที่ 82/8,5,,,ทับมา,เมืองระยอง,ระยอง,21000,,37000000,26,615
1333,3-106-12/63รย,1.021E+13,บริษัท ที เจ เอฟ เพิ่มทรัพย์ เซอร์วิส จำกัด,บริษัท ที เจ เอฟ เพิ่มทรัพย์ เซอร์วิส จำกัด,นำตะกรันจากเตาหลอมเหล็กที่ไม่เป็นของเสียอันตรายมาผ่านกรรมวิธีบดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบในการทำถนน,เลขที่ โฉนดที่ดินเลขที่ 57206,,,,หนองบัว,บ้านค่าย,ระยอง,21120,,2800000,15,684
1334,3-106-17/54รย,1.021E+13,บริษัท หัวไท่ อินดัสทรี จำกัด,บริษัท หัวไท่ อินดัสทรี จำกัด,นำตะกรันจากเตาหลอมเหล็กที่ไม่เป็นของเสียอันตรายมาผ่านกรรมวิธีบดย่อยเพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบในการทำถนน,เลขที่ โฉนดที่ดินเลขที่ 6584,6,-,ทางหลวงสาย 3191,แม่น้ำคู้,ปลวกแดง,ระยอง,21140,038 991178,6000000,4,328.5
1335,3-106-17/56รย,1.021E+13,บริษัท ไฮเทค พลาส จำกัด,บริษัท ไฮเทค พลาส จำกัด,นำตะกรันเหล็กมาผ่านกรรมวิธีการบดย่อยเพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบในอุตสาหกรรมหลอมเหล็กและอุตสาหกรรมก่อสร้าง และบดย่อยแผงวงจรอิเล็กทรอนิกส์,เลขที่ -,2,-,-,มาบข่า,นิคมพัฒนา,ระยอง,21180,,46000000,20,120
1336,3-106-18/57รย,1.021E+13,บริษัท ไร้ท์ รีแอคติเวชั่น จำกัด (มหาชน),บริษัท ไร้ท์ รีแอคติเวชั่น จำกัด (มหาชน),นำถ่านกัมมันต์ที่ใช้งานแล้วมาผ่านกระบวนการทางอุตสาหกรรม เพื่อนำกลับมาใช้ประโยชน์ใหม่ รับอะลูมินากัมมันต์ที่ใช้งานแล้ว(Spent Activated Alumina) จากโรงงานในกลุ่มอุตสาหกรรมปิโตรเคมี,เลขที่ 555,5,-,-,มะขามคู่,นิคมพัฒนา,ระยอง,21180,,54000000,18,1186
1337,3-106-19/60รย,1.021E+13,ซัน พาวเวอร์ (Sun Power),นายจักรกฤษ เรืองธุระกิจ,ตากกากมันสำปะหลัง,"เลขที่ โฉนดที่ดินเลขที่ 57799, 58445,13230, น.ส.3 ก. เลขที่ 636 และ 1980",,,ห้วยโป่ง-หนองบอน,ห้วยโป่ง,เมืองระยอง,ระยอง,21000,08 1899 0980,15820000,5,438
1338,3-106-2/45รย,1.02102E+13,บริษัท ระยอง เวสท์ แมนเนจเม้นท์ แอนด์ รีไซเคิล จำกัด,บริษัท ระยอง เวสท์ แมนเนจเม้นท์ แอนด์ รีไซเคิล จำกัด,นำตัวทำละลายที่ใช้งานแล้วมาผ่านกระบวนการเพื่อนำกลับมาใช้ใหม่,เลขที่ 25,3,วัดมาบข่า,ทางหลวงหมายเลข 3101,มาบข่า,นิคมพัฒนา,ระยอง,21180,038-952072,940000,32,76.32
1339,3-106-2/46รย,1.02102E+13,บริษัท เอเซีย รีไฟนิ่ง จำกัด,บริษัท เอเซีย รีไฟนิ่ง จำกัด,"กลั่นตัวทำละลายใช้งานแล้วนำกลับมาใช้ประโยชน์ใหม่, นำกากสีจากการกลั่นตัวทำละลาย กาวเรซิ่น มาเป็นวัตถุดิบผลิตสีเช่น สีกันสนิม สีทาแบบ สีทาไม้ เป็นต้น , นำกากที่เหลือจากการกลั่นตัวทำละลาย น้ำมันหล่อลื่น น้ำมันหล่อเย็น รวมทั้งเคมีภัณฑ์จำพวกสารไฮโดรคาร์บอน ที่ใช้งานแล้วมาผสมเป็นเชื้อเพลิงทดแทน และล้างถังปนเปื้อนด้วยตัวทำละลาย",เลขที่ 31/9,,,ราษฎร์บำรุง,ห้วยโป่ง,เมืองระยอง,ระยอง,21000,038-681269,4000000,8,226
1340,3-106-20/51รย,1.021E+13,บริษัท เอเอสเค อินเตอร์ เอ็นจิเนียริ่ง พลาสติก จำกัด,บริษัท เอเอสเค อินเตอร์ เอ็นจิเนียริ่ง พลาสติก จำกัด,ทำเม็ดพลาสติกเกรดบีจากเศษพลาสติกใช้แล้ว,เลขที่ 32/4,1,6,-,มะขามคู่,นิคมพัฒนา,ระยอง,21180,,24670000,20,1120
1341,3-106-21/51รย,1.02101E+13,บริษัท เค.เอ.รียูส แอนด์ รีไซคลิง จำกัด,บริษัท เค.เอ.รียูส แอนด์ รีไซคลิง จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อผลิตเป็นเชื้อเพลิงทดแทน น้ำมันทาแบบ น้ำมันกันสนิม,เลขที่ 174/18,7,-,สุขุมวิท,เพ,เมืองระยอง,ระยอง,21160,038 653212,12500000,60,25
1342,3-106-21/59รย,1.021E+13,บริษัท ทีม เอ็นไวรอนเมนท์ แอนด์ แมนเนจเมนท์ เวสท์ จำกัด,บริษัท ทีม เอ็นไวรอนเมนท์ แอนด์ แมนเนจเมนท์ เวสท์ จำกัด,ทำเชื้อเพลิงผสมจากวัสดุที่ไม่ใช้แล้วที่เป็นของแข็งและหรือของเหลว ซ่อมและล้างถังบรรจุภัณฑ์ปนเปื้อนด้วยตัวทำละลาย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ โฉนดที่ดินเลขที่ 86617,4,-,-,เชิงเนิน,เมืองระยอง,ระยอง,21000,,14000000,12,227
1343,3-106-22/59รย,1.021E+13,บริษัท ไบรท์ รีโนเวชั่น จำกัด,บริษัท ไบรท์ รีโนเวชั่น จำกัด,ผลิตปุ๋ยอินทรีย์จากกากตะกอนที่เกิดจากระบบบำบัดน้ำเสีย และผลิตอิฐบล๊อกคอนกรีต,เลขที่ 505,1,,,มาบยางพร,ปลวกแดง,ระยอง,21140,,24000000,11,476
1344,3-106-22/62รย,1.02101E+13,บริษัท เอนไวรอนเมนทอล คอนซัลแทนต์ แอนด์ แลนด์ เดเวลอปเมนท์ จำกัด,บริษัท เอนไวรอนเมนทอล คอนซัลแทนต์ แอนด์ แลนด์ เดเวลอปเมนท์ จำกัด,ผลิตสารปรับปรุงดินจากสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 31368,1,,,มาบข่า,นิคมพัฒนา,ระยอง,21180,084-6369808,3700000,13,388.5
1345,3-106-24/47รย,1.021E+13,บริษัท รวมเศษ จำกัด,บริษัท รวมเศษ จำกัด,ซ่อมและล้างถังบรรจุสารเคมีด้วยตัวทำละลาย,เลขที่ 21/6,,-,ทางหลวงสาย 36,มาบข่า,นิคมพัฒนา,ระยอง,21180,038-968985,12000000,16,122
1346,3-106-27/62รย,1.02102E+13,บริษัท จงเป่า เอ็นเตอร์ไพรส์ จำกัด,บริษัท จงเป่า เอ็นเตอร์ไพรส์ จำกัด,นำตะกรันเหล็กมาผ่านกรรมวิธีการบดย่อย เพื่อกลับมาใช้ประโยชน์ใหม่ เป็นวัตถุดิบในอุตสาหกรรมหลอมเหล็กและอุตสาหกรรมก่อสร้าง,เลขที่ 297/8,5,,,พนานิคม,นิคมพัฒนา,ระยอง,21180,,20000000,19,2828.4
1347,3-106-3/45รย,1.02101E+13,ห้างหุ้นส่วนจำกัด วริศ โลหะกิจ,ห้างหุ้นส่วนจำกัด วริศ โลหะกิจ,ซ่อมและล้างถังเคมีด้วยตัวทำละลาย,เลขที่ 25,,,ทางหลวงหมายเลข 3191,มาบข่า,นิคมพัฒนา,ระยอง,21180,02-9983800,940000,5,58
1348,3-106-3/46รย,1.021E+13,บริษัท ไทยแมกซ์เวล อินดัสเทรียล เซอร์วิส จำกัด,บริษัท ไทยแมกซ์เวล อินดัสเทรียล เซอร์วิส จำกัด,สกัดแยกผลิตภัณฑ์ปิโตรเลียมจากกากหรือตะกอนน้ำมันดิบ,เลขที่ 24/3,5,-,ทางหลวงหมายเลข 3143,หนองละลอก,บ้านค่าย,ระยอง,21120,038-642165-7,0,11,757
1349,3-106-3/62รย,1.021E+13,บริษัท ระยองพัฒนาอุตสาหกรรม จำกัด,บริษัท ระยองพัฒนาอุตสาหกรรม จำกัด,ผลิตสารปรับปรุงดิน จากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 44/3,8,,,หนองละลอก,บ้านค่าย,ระยอง,21120,,43500000,13,388.5
1350,3-106-3/64รย,1.021E+13,บริษัท คีเชง รับเบอร์ (ไทยแลนด์) จำกัด,บริษัท คีเชง รับเบอร์ (ไทยแลนด์) จำกัด,นำเศษยาง เช่น รถยนต์ที่ไม่ผ่านคุณภาพมาทำยางรีเคลม,เลขที่ 323/8,8,,3191,มาบข่า,นิคมพัฒนา,ระยอง,21180,,6000000,5,80
1351,3-106-3/65รย,1.021E+13,บริษัท เบสท์ เพอฟอร์แมนซ์ เอ็นจิเนียริ่ง จำกัด,บริษัท เบสท์ เพอฟอร์แมนซ์ เอ็นจิเนียริ่ง จำกัด,รื้อตัด แยกส่วน และรีไซเคิลโครงสร้างจากแท่นผลิตน้ำมันและก๊าซธรรมชาติผ่านการใช้งานแล้ว รวมทั้งล้างทำความสะอาดอุปกรณ์ ท่อ และโครงน้างแท่นผลิตน้ำมัน ทำเชื้ือเพลิงทดแทนจากน้ำมันหล่อลื่นใช้แลว และน้ำมันปนเปื้อนน้ำจากการซ่อมบำรุงและบรรจุภัณฑ์ปนเปื้อนน้ำมันและอุตสาหกรรมทั่วไป,เลขที่ 350,1,,สาย 11,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180,,46400000,40,1820
1352,3-106-30/59รย,1.02101E+13,บริษัท รับเบอร์ เวิลด์กรีน จำกัด,บริษัท รับเบอร์ เวิลด์กรีน จำกัด,ผลิตเชื้อเพลิงแข็ง (Refuse Derived Fuel) จากสิ่งปฏิกูลที่เป็นของเสียไม่อันตราย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 350/8,5,,,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180,,13500000,23,383
1353,3-106-30/60รย,1.021E+13,ศูนย์กำจัดขยะมูลฝอยรวมแบบครบวงจร จังหวัดระยอง,บริษัท ระยองพัฒนาอุตสาหกรรม จำกัด,นำกากตะกอนจากระบบบำบัดน้ำเสียที่ไม่เป็นอันตราย และอินทรีย์วัตถุที่ไม่ใช้แล้ว จากโรงงาน และขยะอินทรีย์มาทำเป็นผลิตภัณฑ์ใหม่ เช่น ปุ๋ยอินทรีย์ ปุ๋ยอินทรีย์เคมี,เลขที่ 94/2,3,,,น้ำคอก,เมืองระยอง,ระยอง,21000,38026719,66925641,25,925.7
1354,3-106-32/59รย,1.021E+13,บริษัท เทคโนโลยีธุรกิจพลังงานทดแทน (2009) จำกัด,บริษัท เทคโนโลยีธุรกิจพลังงานทดแทน (2009) จำกัด,ผลิตน้ำมันเชื้อเพลิงทดแทนจากยางรถยนต์โดยกระบวนการไพโรไลซิส (Pyrolysis),เลขที่ 59,3,,,มาบข่า,นิคมพัฒนา,ระยอง,21180,,18000000,6,616
1355,3-106-32/60รย,1.02101E+13,บริษัท เวสท์ โอเว่น เซอร์วิส จำกัด,บริษัท เวสท์ โอเว่น เซอร์วิส จำกัด,นำกากตะกอนจากระบบบำบัดน้ำเสียที่ไม่เป็นอันตราย และอินทรีย์วัตถุที่ไม่ใช้แล้ว จากโรงงานมาทำเป็นผลิตภัณฑ์ใหม่ เช่น ปุ๋ยอินทรีย์,เลขที่ 26/6,2,,,มาบข่า,นิคมพัฒนา,ระยอง,21180,,17000000,11,382
1356,3-106-33/54รย,1.021E+13,บริษัท กวิน เอส.อินดัสทรี่ จำกัด,บริษัท กวิน เอส.อินดัสทรี่ จำกัด,นำตะกรันจากเตาหลอมเหล็กที่ไม่เป็นของเสียอันตรายมาผ่านกรรมวิธีบดย่อย เพื่อนำกลับมาใช้ประโยชน์และเป็นวัตถุดิบทดแทนในการก่อสร้าง,เลขที่ 159,5,-,-,พนานิคม,นิคมพัฒนา,ระยอง,21180,,39000000,12,495
1357,3-106-33/59รย,1.021E+13,บริษัท ฉางเฉิน จำกัด,บริษัท ฉางเฉิน จำกัด ,นำผ้าอ้อมสำเร็จรูปที่ไม่ได้คุณภาพหรือมาตรฐาน (Off-spec product) มาผ่านกรรมวิธีการผลิตทางอุตสาหกรรมเพื่อผลิตเป็นวัตถุดิบ ได้แก่ ผงโพลิเมอร์ ฝุ่นกระดาษ เศษพลาสติก,เลขที่ 88/8,1,,,แม่น้ำคู้,ปลวกแดง,ระยอง,57150,081-9511591,28000000,17,214.48
1358,3-106-33/60รย,1.021E+13,บริษัท ห่าวเรน ไมนิ่ง จำกัด,บริษัท ห่าวเรน ไมนิ่ง จำกัด,รีไซเคิลฝุ่นจากระบบขจัดมลพิษทางอากาศจากเตาหลอมเหล็ก,เลขที่ โฉนดที่ดินเลขที่ 16514,6,,,ห้วยโป่ง,เมืองระยอง,ระยอง,20110,,140000000,55,6454.67
1359,3-106-34/50รย,1.021E+13,บริษัท ทีอาร์ ระยอง (ไทยแลนด์) จำกัด,บริษัท ทีอาร์ ระยอง (ไทยแลนด์) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย สกัดโลหะจากกากตะกอนทองแดง (Copper Slag) ทำอิฐบล็อค และอิฐตัวหนอน,เลขที่ 19/1,2, -, -,พนานิคม,นิคมพัฒนา,ระยอง,21180,,79650000,33,627.06
1360,3-106-35/47รย,1.02101E+13,บริษัท โพลิเมอร์เอเชีย (ประเทศไทย) จำกัด,บริษัท โพลิเมอร์เอเชีย (ประเทศไทย) จำกัด,ทำวัสดุผสมจากของเสียประเภทต่าง ๆ (BLENDING) เพื่อใช้เป็นวัตถุดิบและเชื้อเพลิงทดแทน,เลขที่ 32,3,7,สาย  13,พนานิคม,นิคมพัฒนา,ระยอง,21180,,39000000,37,292.2
1361,3-106-35/51รย,1.021E+13,โรงงานแปรรูปขยะพลาสติกเป็นน้ำมันดิบ,เทศบาลนครระยอง,รีไซเคิลขยะพลาสติกเป็นน้ำมันดิบด้วยกระบวนการ Depolymerization (Catalytic Pyrolysis),เลขที่ 22/13,-,-,สมุทรเจดีย์,ปากน้ำ,เมืองระยอง,ระยอง,21000,,55000000,16,103.82
1362,3-106-36/64รย,1.02103E+13,บริษัท สามเค รีไซเคิล จำกัด,บริษัท สามเค รีไซเคิล จำกัด,ล้างและซ่อมบรรจุภัณฑ์ที่ปนเปื้อนด้วยตัวทำละลาย ผลิตเชื้อเพลิงผสมจากวัสดุที่ปนเปื้อนต่างๆ ผลิตเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว ตัวทำละลายที่ใช้แล้ว บดย่อยชิ้นส่วนอุปกรณ์เครื่องใช้ไฟฟ้าหรืออิเล็กทรอนิกส์ที่ใช้แล้ว รีไซเคิลหลอดไฟฟ้าฟลูออเรสเซนต์ เก็บรวบรวมแบตเตอรีโดยไม่มีการแปรสภาพ ผลิตวัตถุดิบทดแทนสำหรับการผลิตปูนซีเมนต์,เลขที่ โฉนดที่ดินเลขที่ 44203 เลขที่ดิน 816,6,,,สำนักท้อน,บ้านฉาง,ระยอง,21130,,11000000,15,461
1363,3-106-37/51รย,1.021E+13,เฟอริค รีไซเคิล,นางสาววันเพ็ญ อิ่มขวัญ,ผลิตสารเฟอริคคลอไรด์ สำหรับใช้ในระบบบำบัดน้ำเสีย,เลขที่ 25,3,-,-,มาบข่า,นิคมพัฒนา,ระยอง,21180,,9600000,15,85
1364,3-106-38/51รย,1.021E+13,บริษัท ยูซด์ ออยล์ เทรดดิ้งค์ จำกัด,บริษัท ยูชค์ ออยล์ เทรดดิ้งต์ จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นและตัวทำละลายใช้แล้ว,เลขที่ 99,7,-,ป่ายุบใน-เขาสิงห์โต,ป่ายุบใน,วังจันทร์,ระยอง,21210,047 807457,4700000,58,42
1365,3-106-4/46รย,1.021E+13,บริษัท เจพี ฟอร์เวิร์ดเดอร์ จำกัด,บริษัท เจพี ฟอร์เวิร์ดเดอร์ จำกัด,นำแบตเตอรี่ที่ใช้งานแล้วมารีไซเคิลเป็นแบตเตอรี่ใหม่ ล้างเศษพลาสติก และเม็ดพลาสติกปนเปื้อน,เลขที่ 24/9,,-,ทางหลวงหมายเลข 3191,มาบตาพุด,เมืองระยอง,ระยอง,21150,038 682480,15590000,9,525.53
1366,3-106-46/52รย,1.021E+13,บริษัท นิคส์ อินโนเวชั่น จำกัด,บริษัท นิคส์ อินโนเวชั่น จำกัด                       ,สกัดโลหะมีค่าจากกากตะกอนระบบบำบัดน้ำเสียและสารละลายกรด-ด่าง ที่มีองค์ประกอบของโลหะมีค่า นำสารเร่งปฏิกิริยาที่ใช้แล้ว (Spent Catalyst) มาผ่านกระบวนการอบแห้งเพื่อส่งออก หลอมหล่อโลหะมีค่า,เลขที่ 39/16,-,-,เสริมสุวรรณ,มาบตาพุด,เมืองระยอง,ระยอง,21150,038-017440,9000000,10,116
1367,3-106-46/62รย,1.02102E+13,บริษัท นภัทรรุ่งเรือง จำกัด,บริษัท นภัทรรุ่งเรือง จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้ว และตัวทำละลายที่ใช้แล้วมาผลิตเป็นเชื้อเพลิงทดแทน ทำเชื้อเพลิงผสมชนิดแข็ง ซ่อมและล้างถังบรรจุภัณฑ์ด้วยตัวทำละลาย เก็บรวบรวมแบตเตอรี่ โดยไม่มีการแปรสภาพ,เลขที่ 93/2,,,ชากกลาง-มิตรประชา,ห้วยโป่ง,เมืองระยอง,ระยอง,21180,081-2573187,10000000,12,144
1368,3-106-47/51รย,1.021E+13,บริษัท ฮาร์สโก้ เมทัล (ประเทศไทย) จำกัด,บริษัท อาร์สโก้ เมทัล (ประเทศไทย) จำกัด,บริการคัดแยกโลหะจากกากอุตสาหกรรมเหล็ก ด้วยการทุบย่อยบดคัดแยก,เลขที่ 55,5,,หมายเลข 3143,หนองละลอก,บ้านค่าย,ระยอง,21120,038-869193-94,460000000,153,2597
1369,3-106-48/51รย,1.021E+13,บริษัท เอส.พี.เคมีคอลแอนด์อีควิปเมนท์ จำกัด,บริษัท เอส.พี.เคมีคอลแอนด์อีควิปเมนท์ จำกัด,นำเศษพลาสติกที่ใช้งานแล้วมาผ่านกรรมวิธีการผลิตทางอุตสาหกรรม โดยวิธีการล้าง บด ย่อย และหลอม เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นเศษพลาสติกบด เม็ดพลาสติกเกรดบี และของใช้ที่ทำจากพลาสติก,เลขที่ 19/10,3,-,ซอย 5,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180,,48000000,82,1248
1370,3-106-5/46รย,1.021E+13,บริษัท เวิล์ด เวสท์ จำกัด,บริษัท เวิล์ด เวสท์ จำกัด,นำตัวทำละลายและน้ำมันใช้แล้วมาผ่านกรรมวิธีการผลิตทางอุตสาหกรรม เพื่อนำกลับมาใช้ประโยชน์ใหม่ และล้างถังรรจุสารเคมีด้วยตัวทำละลาย บด และผลิตเม็ดพลาสติก คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว และนำสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วมาผสมกับวัตถุดิบอื่น เพื่อผลิตเป็นอิฐบล็อคประสาน อิฐปูพื้น,เลขที่ 21/4,3,วัดมาบข่า,ทางหลวงหมายเลข 3191,มาบข่า,นิคมพัฒนา,ระยอง,21180,,2250000,8,249.44
